ChapterID,VerseID,Source,Target
EZR.2,1,"1Aa ooje, deḛ gə́ dəb ɓeeko̰’d gə́ d’ḭ ɓee-ɓər’g tel ree lé ɓa nee, to dee gə́ Nebukadnesar, mbai gə́ Babilɔn wa dee gə́ ɓər aw sə dee Babilɔn lé. Deḛ tel ree Jerusalem dɔ naŋg gə́ Juda, ndá nana kara aw mee ɓee-boo’g ləa-ləa ya.","1Now these are the people of the province who came up from the captivity of the exiles, whom Nebuchadnezzar king of Babylon had taken captive to Babylon (they returned to Jerusalem and Judah, each to their own town,"
ISA.49,1,1Seḭ gə́ síje dɔgoré-looje’g lé,"1Listen to me, you islands;"
LUK.15,1,1Njétaa lar-gədɓeeje lai ləm gə kaiya-dəwje ləm tɔ kiri na̰ dɔ Jeju’g mba koo ta ləa.,1Now the tax collectors and sinners were all gathering around to hear Jesus.
EXO.1,1,"1Aa ooje ri Israɛlje gə́ ree Ejiptə gə Jakob na̰’d lé nana kara deḛ gə njémeekəije ləa-ləa, ri dee ɓa nee#Gn 46.8-27:","1These are the names of the sons of Israel who went to Egypt with Jacob, each with his family:"
EZK.29,1,"1Mee ləb gə́ njekɔm’g dɔg lé naḭ gə́ njekɔm’g dɔg ra ndɔ dɔg-giree-joo ndá Njesigənea̰ ulam ta gə rɔtaje nee pana#Esa 19.1-25, Jer 46.2-26:","1In the tenth year, in the tenth month on the twelfth day, the word of theLordcame to me:"
PSA.13,1,1Pa lə Dabid gə́ ar bao-pa mba karee ɔs sə dee lé.,"1How long,Lord? Will you forget me forever?"
1KI.16,1,"1Njesigənea̰ un ta ula Jehu, ŋgolə Hanani mba karee ula Basa ta nee pana:",1Then the word of theLordcame to Jehu son of Hanani concerning Baasha:
ECC.4,1,1Tɔɓəi ma m’aa loo ndá ma m’oo nékəmndooje lai gə́ ra gə na̰ dɔ naŋg nee ndá,1Again I looked and saw all the oppression that was taking place under the sun:
2SA.4,1,"1Loo gə́ ŋgolə Sawul oo to gə́ Abner wəi Ebro̰ ndá jia unda ndolè ləm, Israɛlje lai kara ɓəl unda dee badə gaŋg dee ləm tɔ.","1When Ish-Bosheth son of Saul heard that Abner had died in Hebron, he lost courage, and all Israel became alarmed."
PSA.135,1,1Maji kar sí pidije Njesigənea̰.,1Praise theLord.#135:1HebrewHallelu Yah; also in verses 3 and 21
PSA.92,1,1Pa gə́ d’ɔs mbata lə ndɔ-kwa-rɔ lé.,1It is good to praise theLord
ISA.62,1,1Gə goo kunda gə́ m’unda Sio̰ dan kəm’g lé ɓa,"1For Zion’s sake I will not keep silent,"
GEN.33,1,"1Jakob un kəmee gə́ tar aa loo. Ndá aa oo, Esawu si ree gə dəwje tɔl-sɔ. Yeḛ kai ŋganje ar Lea ləm, gə Rasel ləma, gə ŋganjélookisije gə́ dené gə́ joo lé ləm tɔ.","1Jacob looked up and there was Esau, coming with his four hundred men; so he divided the children among Leah, Rachel and the two female servants."
JDG.9,1,"1Abimelek, ŋgolə Jerubaal lé aw Sikem rɔ naneeje-je’g ndá aa oo, ta gə́ yeḛ ula dee ləm, gə ta gə́ yeḛ ula njémeekəije lə bɔ kea̰je ləm tɔ lé ɓa nee:","1Abimelek son of Jerub-Baal went to his mother’s brothers in Shechem and said to them and to all his mother’s clan,"
1CO.9,1,1See ma m’to ŋgonkoji el wa. See ma m’to gə́ njekaḭkula el wa. See ma m’oo Jeju Mbaidɔmbaije lə sí el wa. See seḭ toje kula ramje gin Mbaidɔmbaije’g el wa.,1Am I not free? Am I not an apostle? Have I not seen Jesus our Lord? Are you not the result of my work in the Lord?
MAT.19,1,1Loo gə́ Jeju pata ləa ila naŋg ɗəgərə ndá yeḛ ḭ Galile aw dɔ naŋg ɓee gə́ Jude gə́ gir Jurdɛ̰ gə́ kel tura’g.,"1When Jesus had finished saying these things, he left Galilee and went into the region of Judea to the other side of the Jordan."
1TI.3,1,1Ta neelé to kankəmta ya: ɓó lé nana ɓa ndiŋga rəa gə mba to njekaa dɔ Eglisə ndá mbai-kula ɓa yeḛ ndiŋga ya.,1Here is a trustworthy saying: Whoever aspires to be an overseer desires a noble task.
1SA.23,1,"1Deḛ ree d’ula Dabid pana: Aa oo, Pilistije ree rɔ njé gə́ Keyila ndá d’odo koje lə deḛ lai gə́ to loo-kundaje’g gə́ nébanrɔ.","1When David was told, “Look, the Philistines are fighting against Keilah and are looting the threshing floors,”"
2KI.5,1,"1Naaman gə́ to ɓé-njérɔje lə mbai gə́ Siri lé taa kəm mbai ləa rəgm ləm, mbai ləa kara ila riɓar gə́ boo dəa’g ləm tɔ mbata mbɔl dəa yeḛ ɓa Njesigənea̰ ar Aramje d’un ne baŋga ya. Dəw neelé to gə́ bao-rɔ ya nɛ ba̰ji ɓa gaŋgee#Lug 4.27.","1Now Naaman was commander of the army of the king of Aram. He was a great man in the sight of his master and highly regarded, because through him theLordhad given victory to Aram. He was a valiant soldier, but he had leprosy.#5:1The Hebrew forleprosywas used for various diseases affecting the skin; also in verses 3, 6, 7, 11 and 27."
NUM.33,1,"1Aa ooje, kaw lə Israɛlje gə́ d’aw rəbə loo gə́ d’unda ne loo mee ɓee gə́ Ejiptə teḛ gə goo kudu njérɔje lə dee gə́ Moyis gə Aaro̰ d’ɔr no̰ dee keneŋ lé ɓa nee.",1Here are the stages in the journey of the Israelites when they came out of Egypt by divisions under the leadership of Moses and Aaron.
PSA.44,1,1Pa lə Koréje gə́ d’ar bao-pa mba karee ɔs sə dee lé,"1We have heard it with our ears, O God;"
1SA.14,1,"1Ndɔ kára bèe Jonatan, ŋgolə Sawul ula basa gə́ njekodo nérɔje ləa pana: Gə́ ree ar sí j’aw saar n’teḛje loo-si Pilistije gə́ to kel loo gə́ nu.","1One day Jonathan son of Saul said to his young armor-bearer, “Come, let’s go over to the Philistine outpost on the other side.” But he did not tell his father."
JDG.13,1,"1Israɛlje tel ra né gə́ taa kəm Njesigənea̰ el ya tɔɓəi, ar Njesigənea̰ uba dee ya̰ dee ji Pilistije’g as ləb rɔ-sɔ.","1Again the Israelites did evil in the eyes of theLord, so theLorddelivered them into the hands of the Philistines for forty years."
GEN.29,1,1Jakob ḭ njaa ɔd aw teḛ ɓee lə ŋganje gə́ Bər.,1Then Jacob continued on his journey and came to the land of the eastern peoples.
MAT.7,1,"1Maji kar sí gaŋgje ta dɔ mar síje’g el, gə mba kar Ala gaŋgta dɔ sí’g el tɔ.","1“Do not judge, or you too will be judged."
EZK.48,1,"1Aa oo, ri ginkojije lé ɓa nee: Ginkoji Danje d’a kiŋga dəb loo kára un kudee rudu loo gə́ dɔgel ɓa dəs gə́ rəw gə́ ḭ Hetlon mba teḛ Amat gə Hasar-Enon ləm, gə rəw-nim-ɓee gə́ Damas gə́ to par gə́ dɔgel lə Amat ləm tɔ un kudee bər saar teḛ dɔ-gó ləm tɔ.","1“These are the tribes, listed by name: At the northern frontier, Dan will have one portion; it will follow the Hethlon road to Lebo Hamath; Hazar Enan and the northern border of Damascus next to Hamath will be part of its border from the east side to the west side."
1SA.13,1,1Sawul lé ləbee as ... loo gə́ yeḛ tel to mbai ndá yeḛ o̰ ɓee dɔ Israɛlje’g as ləb joo.,"1Saul was thirty#13:1A few late manuscripts of the Septuagint; Hebrew does not havethirty.years old when he became king, and he reigned over Israel forty-#13:1Probable reading of the original Hebrew text (see Acts 13:21); Masoretic Text does not haveforty-.two years."
EPH.3,1,"1Gelee gə́ nee ɓa, ma Pool m’to ne daŋgai lə Kristi mbata lə sí-seḭ njépole-magəje lé ...","1For this reason I, Paul, the prisoner of Christ Jesus for the sake of you Gentiles—"
PSA.3,1,1Pa lə Dabid loo gə́ yeḛ aḭ ne no̰ ŋgonee Absalɔm’g#2Sam 15.5–17.22.,"1Lord, how many are my foes!"
EZK.43,1,1Yeḛ ɔr nɔm teḛ səm tarəw gə́ to par gə́ bər lé.,"1Then the man brought me to the gate facing east,"
2KI.9,1,"1Elije, njetegginta ɓar basa kára mbuna koso njéteggintaje’g ulá pana: Tɔ ndar ɓəri’g ndá un ku gaji-da gə́ nee gə́ ubu to keneŋ lé aw ne Ramot dɔ naŋg gə́ Galaad.","1The prophet Elisha summoned a man from the company of the prophets and said to him, “Tuck your cloak into your belt, take this flask of olive oil with you and go to Ramoth Gilead."
2CO.9,1,1Ta gə́ wɔji dɔ nojikwa gə́ j’a la ne gə deḛ gə́ to gə kəmee lé seḭ gərje mba̰ ɓó loo ndaŋg taree kar sí godo ŋga.,1There is no need for me to write to you about this service to the Lord’s people.
EZR.3,1,"1Naḭ gə́ njekɔm’g siri, loo gə́ Israɛlje d’isi mee ɓee-booje’g lə dee lə dee mba̰ ndá koso-dəwje ree mbo̰ dɔ na̰ Jerusalem asəna gə dəw gə́ kára ba bèe.","1When the seventh month came and the Israelites had settled in their towns, the people assembled together as one in Jerusalem."
DEU.6,1,"1Aa ooje, tornduje, gə godnduje, gə ndukunje gə́ Ala lə sí gə́ Njesigənea̰ am gə mba kam ndoo sí, gə mba kar sí raje née mee ɓee gə́ seḭ a gə kaw taaje gə́ né ka̰ sí-seḭ lé:","1These are the commands, decrees and laws theLordyour God directed me to teach you to observe in the land that you are crossing the Jordan to possess,"
ACT.19,1,1Loo gə́ Apolɔs nai Kɔrḭtə ɓəi ndá Pool aw gə loo-loo gə kəmee gə́ kédé ɓeeko̰ gə́ Asi saar teḛ Epesə. Yeḛ iŋga njékwakiláje gə́ na̰je keneŋ dəji dee pana:,"1While Apollos was at Corinth, Paul took the road through the interior and arrived at Ephesus. There he found some disciples"
DEU.32,1,"1I dara lé, kɔd mbii ila tag ndá m’a kulai ta,","1Listen, you heavens, and I will speak;"
PSA.142,1,"1Sam 22.1, 24.4",1I cry aloud to theLord;
MAT.11,1,"1Loo gə́ Jeju tɔji njékwakiláje gə́ dɔg-gir-dee-joo ta neelé lai mba̰ ndá yeḛ ḭ keneŋ aw mee ɓee-booje’g lə ɓee neelé mba ndoo dəwje ləm, gə ndəji dee ləm tɔ.","1After Jesus had finished instructing his twelve disciples, he went on from there to teach and preach in the towns of Galilee.#11:1Greekin their towns"
ISA.44,1,"1Nɛ ɓasinè seḭ njé’g lə Jakob gə́ toje kuraje ləm,","1“But now listen, Jacob, my servant,"
MRK.7,1,1Parisiḛje gə njéndaji-maktubje gə́ na̰je gə́ d’ḭ Jerusalem lé ree mbo̰ dɔ na̰ rɔ Jeju’g.,1The Pharisees and some of the teachers of the law who had come from Jerusalem gathered around Jesus
EXO.27,1,"1D’a ra loo-nékinjaməs gə kag-akasiaje, ŋgalee a k’as kəmkil dəw mi ləm, tadee a k’as kəmkil dəw mi ləm tɔ. Loo nékinjaməs neelé a to dɔmbul ləm, dəree gə́ ḭ gə́ tar a k’as kəmkil dəw munda ləm tɔ.","1“Build an altar of acacia wood, three cubits#27:1That is, about 4 1/2 feet or about 1.4 metershigh; it is to be square, five cubits long and five cubits wide.#27:1That is, about 7 1/2 feet or about 2.3 meters long and wide"
EST.7,1,"1Mbai deḛ gə Aman lé d’aw na̰’d gə mba sɔ né mee kəi’g lə Este, dené lə mbai lé.","1So the king and Haman went to Queen Esther’s banquet,"
ISA.60,1,1I ɓee-boo gə́ Jerusalem lé ḭta!,"1“Arise, shine, for your light has come,"
REV.1,1,1Jeju Kristi kila rəa gə́ raga. Yee ɓa Ala ra mba kar kuraje ləa d’oo ne néje gə́ a gə teḛ dəb. Yeḛ ula kura ləa gə́ dara mba kar kəm Ja̰ gə́ to kura ləa inja dɔ’g.,"1The revelation from Jesus Christ, which God gave him to show his servants what must soon take place. He made it known by sending his angel to his servant John,"
HOS.14,1,1Bo̰ néra Samarije a kɔs ta dee’g,"1Return, Israel, to theLordyour God."
JHN.7,1,"1Gée gə́ gogo Jeju aw gə loo-loo dɔ naŋg gə́ Galile, yeḛ ndigi si Jude el mbata Jibje saŋg loo gə mba tɔlee.","1After this, Jesus went around in Galilee. He did not want#7:1Some manuscriptsnot have authorityto go about in Judea because the Jewish leaders there were looking for a way to kill him."
EZK.41,1,"1Yeḛ ɔr nɔm aw səm mee kəi gə́ to gə kəmee doi’g. Tɔɓəi yeḛ wɔji kag-tarəwje ndá debee kára tad as kəmkil dəw misa̰ ləm, debee gə́ raŋg tad as kəmkil dəw misa̰ ya ləm tɔ, yee ɓa to tadee lé.","1Then the man brought me to the main hall and measured the jambs; the width of the jambs was six cubits#41:1That is, about 11 feet or about 3.2 meters; also in verses 3, 5 and 8on each side.#41:1One Hebrew manuscript and Septuagint; most Hebrew manuscriptsside, the width of the tent"
MAT.16,1,"1Parisiḛje gə Saduseḛje ree rɔ Jeju’g dəjee gə mba ndo̰ ne təa kaḭ ne mée pana: Ar sí j’ooje némɔri gə́ ḭ dara lé#Mat 12.38, Lug 11.16.",1The Pharisees and Sadducees came to Jesus and tested him by asking him to show them a sign from heaven.
MIC.1,1,"1Njesigənea̰ ula Mise, dəw gə́ Moreset ta mee ndəaje gə́ Jotam gə Ahas gə Ejekias, to ne mbaije gə́ Juda lé. To ta gə́ wɔji dɔ Samari gə Jerusalem gə́ yeḛ oo gə némḭdi lé#2Mb 15.32–16.20, 18.1–20.21, 2SgI 27.1-7, 28.1–32.33.","1The word of theLordthat came to Micah of Moresheth during the reigns of Jotham, Ahaz and Hezekiah, kings of Judah—the vision he saw concerning Samaria and Jerusalem."
ISA.65,1,1Deḛ gə́ dəjim né kára el lé,1“I revealed myself to those who did not ask for me;
PSA.136,1,"1SgI 16.34, 2SgI 5.13, 7.3, Esd 3.11, Pak 100.5, 106.1, 107.1, 118.1, Jer 33.11","1Give thanks to theLord, for he is good."
JHN.18,1,"1Loo gə́ Jeju pata néje nee mba̰ ndá yeḛ ɔr njékwakiláje gaŋg sə dee nia̰ gə́ ria lə Sedro̰ teḛ sə dee loo gə́ deḛ ma̰a kagje keneŋ lé, deḛ gə njékwakiláje d’aw mee kagje’g neelé.","1When he had finished praying, Jesus left with his disciples and crossed the Kidron Valley. On the other side there was a garden, and he and his disciples went into it."
REV.13,1,"1Tɔɓəi ma m’oo da gə́ gajeeje dɔg ləm, dəaje siri ləm tɔ lé ḭ dan baa-boo-kad’g. Dɔgugu kára-kára dɔg to dɔ gajeeje’g neelé ləm, deḛ ndaŋg ri ndɔl dəaje’g kára-kára siri ləm tɔ#LkD 7.3, LkJ 17.3, 7.12.","1The dragon#13:1Some manuscriptsAnd Istood on the shore of the sea. And I saw a beast coming out of the sea. It had ten horns and seven heads, with ten crowns on its horns, and on each head a blasphemous name."
JHN.2,1,"1Ndɔ munda gogo to ndɔ ra naḭ taa na̰ mee ɓee gə́ Kana dɔ naŋg gə́ Galile. Ko̰ Jejuje si keneŋ ləm,","1On the third day a wedding took place at Cana in Galilee. Jesus’ mother was there,"
PRO.15,1,1Ta kila’g gə́ kul yururu lé,"1A gentle answer turns away wrath,"
LAM.5,1,"1Njesigənea̰, ar məəi olé dɔ né gə́ teḛ dɔ sí’g lé!","1Remember,Lord, what has happened to us;"
JDG.1,1,1Loo gə́ Juje wəi mba̰ ndá Israɛlje dəji Njesigənea̰ pana: See na̰ ɓa mbuna sí’g a kɔr rɔ doŋgɔr kaw rɔ gə Kana̰je wa.,"1After the death of Joshua, the Israelites asked theLord, “Who of us is to go up first to fight against the Canaanites?”"
REV.9,1,1Kura gə́ dara gə́ njekɔm’g mi lé im to̰to̰ ndá m’oo kérèmé gə́ ḭ dara oso naŋg. D’aree nékɔr tarəw gə́ wɔji dɔ bwa-wəl gə́ ɔr duu keḭ-keḭ ar suna godo,"1The fifth angel sounded his trumpet, and I saw a star that had fallen from the sky to the earth. The star was given the key to the shaft of the Abyss."
EXO.37,1,"1Besalel ra sa̰duk gə kag-akasia, ŋgalee as kəmkil dəw joo gə gesee ləm, tadee as kəmkil dəw kára gə gesee ləma, dəree as kəmkil dəw kára gə gesee ləm tɔ.","1Bezalel made the ark of acacia wood—two and a half cubits long, a cubit and a half wide, and a cubit and a half high.#37:1That is, about 3 3/4 feet long and 2 1/4 feet wide and high or about 1.1 meters long and 68 centimeters wide and high; similarly in verse 6"
GEN.30,1,1Loo gə́ Rasel oo to gə́ yeḛ as koji ŋgon gə Jakob el ndá yeḛ ra kəmkəḭ dɔ ŋgokea̰ gə́ dené’g ndá yeḛ ula Jakob pana: Am ŋganje nà m’a kwəi!,"1When Rachel saw that she was not bearing Jacob any children, she became jealous of her sister. So she said to Jacob, “Give me children, or I’ll die!”"
EXO.23,1,"1Seḭ a kunje taŋgɔm kasje ne loo pəd-pəd el. Seḭ a kɔmje na̰’d sad gə njémeeyèrje mba gaŋg ne ta badə-badə gə taŋgɔm el tɔ#Tr 20.16, Ləb 19.11-12, TtG 5.20.",1“Do not spread false reports. Do not help a guilty person by being a malicious witness.
ROM.1,1,"1Ma Pool, kura lə Jeju Kristi, gə́ Ala ɓarm undam gə́ njekaḭkula ləm, yeḛ ɔrm undam gə kəmee mba karm m’aw m’ila mber Tagə́maji lə Ala lé ləm tɔ.","1Paul, a servant of Christ Jesus, called to be an apostle and set apart for the gospel of God—"
1SA.22,1,"1Dabid ḭ lée’g neelé aḭ aw iya rəa mee bolè mbal’d gə́ Adulam. Ŋgakea̰je gə njémeekəije lə bɔbeeje lai d’oo taree ndá d’ḭ d’aw d’iŋgá#Pak 57.1, 142.1.","1David left Gath and escaped to the cave of Adullam. When his brothers and his father’s household heard about it, they went down to him there."
1KI.5,1,"1Salomo̰ o̰ ɓee dɔ ɓeeko̰je’g lai ya tɔɓəi, un kudee ta baa’g saar teḛ ne ɓeeje’g lə Pilistije ləm, saar teḛ ne rəw-nim-ɓee gə́ Ejiptə ləm tɔ. Deḛ ra né d’ar Salomo̰ gə mee ləbje lai gə́ yeḛ si ne kəmba ya#Gn 15.18, 2SgI 9.26.","1When Hiram king of Tyre heard that Solomon had been anointed king to succeed his father David, he sent his envoys to Solomon, because he had always been on friendly terms with David."
EZR.1,1,"1Mee ləb ko̰ɓee gə́ dɔtar’g lə Sirus, mbai gə́ Persə lé Njesigənea̰ ar ta gə́ yeḛ pa gə ndu Jeremi lé aw lée’g béréré ya. Njesigənea̰ lé ɔs Sirus, mbai gə́ Persə lé ɓɔḭ-ɓɔḭ gə mba karee ar dee d’ila mber gə looje lai mee ɓeeko̰’g ləa ləm, gə ndaŋg taree mee maktub’g ləm tɔ pana#Jer 25.11, 29.10:","1In the first year of Cyrus king of Persia, in order to fulfill the word of theLordspoken by Jeremiah, theLordmoved the heart of Cyrus king of Persia to make a proclamation throughout his realm and also to put it in writing:"
2SA.21,1,"1Mee ndəa’g lə Dabid lé ɓoo-boo o̰ orè goo na̰ goo na̰ as ləb munda. Togə́bè Dabid dəji Njesigənea̰ ndá Njesigənea̰ ulá pana: Gelee to mbata Sawul gə njémeekəije ləa gə́ d’ila məs lé, mbata Sawul ar dee tɔl Gabao̰je.","1During the reign of David, there was a famine for three successive years; so David sought the face of theLord. TheLordsaid, “It is on account of Saul and his blood-stained house; it is because he put the Gibeonites to death.”"
PSA.27,1,1Pakɔs lə Dabid,1TheLordis my light and my salvation—
JOB.3,1,1Gée gə́ gogo ndá Jɔb teḛ təa ila ne ndɔl dɔ ndɔ kojee’g#Jer 20.14-18.,"1After this, Job opened his mouth and cursed the day of his birth."
GEN.10,1,"1Aa ooje, ri ŋgaka ŋgalə Noe gə́ Sem, gə Kam gə Japet lé ɓa to nee: loo gə́ mán bélm lé godo ndá deḛ d’oji ŋgan deeje gə́ diŋgam.","1This is the account of Shem, Ham and Japheth, Noah’s sons, who themselves had sons after the flood."
ISA.33,1,1Meeko̰ a koso dɔi-i gə́ njetujilooje lai’g,"1Woe to you, destroyer,"
JOB.38,1,1Njesigənea̰ tel gə ta dəji Jɔb dan lel-boo’g pana:,1Then theLordspoke to Job out of the storm. He said:
ECC.8,1,1See na̰ ɓa to tana gə njekəmkàr,1Who is like the wise?
JOB.18,1,"1Bildad, dəw gə́ Sua un ta pa pana:",1Then Bildad the Shuhite replied:
